#anidi -ídia=categories: A;fonts: dsalut;
abaxial=categories: A;fonts: LT;
abbadita=categories: A;fonts: LT;
abbassí [pl. abbassís]=categories: A;fonts: LT;
abbevil·lià abbevil·liana=categories: A;fonts: LT;
abbàssida=categories: A;fonts: LT;
abdalita=categories: A;fonts: LT;
abdicant=categories: A;fonts: LT;
abdicatiu abdicativa=categories: A;fonts: LT;
abdominal=categories: A;fonts: LT;
abdominocístic abdominocística=categories: A;fonts: dsalut;
abdominoescrotal=categories: A;fonts: dsalut;
abdominogenital=categories: A;fonts: dsalut;
abdominopelvià abdominopelviana=categories: A;fonts: dsalut;
abdominoperineal=categories: A;fonts: dsalut;
abdominorectal=categories: A;fonts: dsalut;
abdominosigmoidal=categories: A;fonts: dsalut;
abdominotoràcic abdominotoràcica=categories: A;fonts: dsalut;
abdominovaginal=categories: A;fonts: dsalut;
abdominovesical=categories: A;fonts: dsalut;
abducens=categories: AI;fonts: dsalut;
abducent=categories: A;fonts: LT;
abductor abductora=categories: A;fonts: LT;
abecedari abecedària=categories: A;fonts: LT;
abelià abeliana=categories: A;fonts: LT;
abellenc abellenca=categories: A;fonts: LT;
abeller abellera=categories: A;fonts: LT;
abellidor abellidora=categories: A;fonts: LT;
abembrionari abembrionària=categories: A;fonts: dsalut;
abentèric abentèrica=categories: A;fonts: LT;
aberrant=categories: A;fonts: LT;
aberrugat aberrugada [sup. aberrugadíssim]=categories: A; font:apertium;
abertzale=categories: A;fonts: LT;
abestiat abestiada [sup. abestiadíssim]=categories: A; font:apertium;
abietaci -àcia=categories: A;fonts: AVL;
abiogenètic abiogenètica=categories: A;fonts: LT;
abiològic abiològica=categories: A;fonts: LT;
abioquímic abioquímica=categories: A;fonts: LT;
abiotròfic abiotròfica=categories: A;fonts: LT;
abirritant=categories: A;fonts: LT;
abismador abismadora=categories: A;fonts: LT;
abismal=categories: A;fonts: LT;
abismós abismosa=categories: A;fonts: LT;
abissal=categories: A;fonts: LT;
abissini abissínia=categories: A;fonts: LT;
abissopelàgic abissopelàgica=categories: A;fonts: LT;
abiètic abiètica=categories: A;fonts: LT;
abiòtic abiòtica=categories: A;fonts: LT;
abjecte abjecta=categories: A;fonts: LT;
abjurador abjuradora=categories: A;fonts: LT;
abjuratori abjuratòria=categories: A;fonts: LT;
abkhaz abkhaza [pl. abkhazos]=categories: A;fonts: LT;
ablanidor ablanidora=categories: A;fonts: LT;
ablastèmic ablastèmica=categories: A;fonts: LT;
ablatiu ablativa=categories: A;fonts: LT;
ablaïdor -a=categories: A;fonts: AVL;
ablaürat ablaürada=categories: A; fonts: DNV;
ablefàric ablefàrica=categories: A;fonts: dsalut;
abluent=categories: A;fonts: LT;
ablèfar ablèfara=categories: A;fonts: dsalut;
abnegat abnegada=categories: A;fonts: LT;
abneural=categories: A;fonts: dsalut;
abolible=categories: A;fonts: LT;
abolicionista=categories: A;fonts: LT;
abombollat abombollada=categories: A;fonts: LT;
abominable=categories: A;fonts: LT;
abonable=categories: A;fonts: LT;
abonador abonadora=categories: A;fonts: LT;
aboral=categories: A;fonts: LT;
abordable=categories: A;fonts: LT;
abordador abordadora=categories: A;fonts: LT;
aborgonyat aborgonyada=categories: A;fonts: LT;
aborigen=categories: A;fonts: LT;
aborrissolat -ada=categories: A; fonts: Jané;
aborronador aborronadora=categories: A;fonts: LT;
abortiu abortiva=categories: A;fonts: LT;
abotinat -ada=categories: A;fonts: AVL;
abracadabrant=categories: A;fonts: LT;
abrahàmic abrahàmica=categories: A;fonts: LT;
abrainat abrainada=categories: A;fonts: LT;
abrandat abrandada [sup. abrandadíssim]=categories: A;fonts: LT;
abranquiat abranquiada=categories: A;fonts: LT;
abraqui -àquia=categories: A;fonts: dsalut;
abraquiocèfal abraquiocèfala=categories: A;fonts: dsalut;
abrasador abrasadora=categories: A;fonts: LT;
abrasant=categories: A;fonts: LT;
abrasidor abrasidora=categories: A;fonts: LT;
abrasiu abrasiva=categories: A;fonts: LT;
abraçable=categories: A;fonts: AVL;
abraçador abraçadora=categories: A;fonts: LT;
abrerenc abrerenca=categories: A;fonts: LT;
abresquillat abresquillada=categories: A;fonts: LT;
abreujable=categories: A;fonts: LT;
abreujador abreujadora=categories: A;fonts: LT;
abreujadíssim abreujadíssima=categories: A;fonts: superlative;
abreviable=categories: A;fonts: LT;
abreviador abreviadora=categories: A;fonts: LT;
abreviatiu abreviativa=categories: A;fonts: LT;
abrigadet abrigadeta=categories: A;fonts: diminutiu;
abrigadíssim abrigadíssima=categories: A;fonts: superlative;
abrilat abrilada=categories: A;fonts: LT;
abrilenc abrilenca=categories: A;fonts: LT;
abrillantable=categories: A;fonts: LT;
abrillantador abrillantadora=categories: A;fonts: LT;
abrivadíssim abrivadíssima=categories: A;fonts: superlative;
abrogable=categories: A;fonts: LT;
abrogatiu abrogativa=categories: A;fonts: LT;
abrucès abrucesa=categories: A;fonts: LT;
abrupte abrupta [sup. abruptíssim]=categories: A; font:apertium;
abruptinervi abruptinèrvia=categories: A;fonts: LT;
abrusador abrusadora=categories: A;fonts: LT;
abrusidor -a=categories: A;fonts: AVL;
abscopal=categories: A;fonts: dsalut;
abscís abscissa=categories: A;fonts: LT;
abscísic=categories: AMS;fonts: GDLC;
absent [sup. absentíssim]=categories: A; font:apertium;
absentista=categories: A;fonts: LT;
absidal=categories: A;fonts: LT;
